CONTAINER ID   IMAGE                                    COMMAND                  CREATED          STATUS                                  PORTS                                                      NAMES
2b6def7a1c12   afruheritage-platform-api                "gunicorn app.main:a…"   28 minutes ago   Up 27 minutes (healthy)                 0.0.0.0:8100->8000/tcp, [::]:8100->8000/tcp                afruheritage-api
eebd3fe2105d   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   50 minutes ago   Up 50 minutes (healthy)                 80/tcp, 443/tcp, 2019/tcp, 443/udp                         fleetbase-application-1
d7183416c8ea   postgres:16-alpine                       "docker-entrypoint.s…"   2 hours ago      Up 2 hours (healthy)                    0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                afruheritage-postgres
33ea2eb94d7f   dokploy/dokploy:v0.29.2                  "docker-entrypoint.s…"   6 hours ago      Up 6 hours (healthy)                    0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                dokploy.1.g2wv7xi2n47jju0qk7102ercv
b37186c2af86   postgres:16                              "docker-entrypoint.s…"   6 hours ago      Up 6 hours                              5432/tcp                                                   dokploy-postgres.1.uzbev5kabjer26npp2k1izbcn
0821bea1649d   redis:7                                  "docker-entrypoint.s…"   6 hours ago      Up 6 hours                              6379/tcp                                                   dokploy-redis.1.u8dtohak8rkgcsomaucjdksjj
494329db7d87   afruheritage-platform-worker             "celery -A app.tasks…"   19 hours ago     Up 6 hours (unhealthy)                  8000/tcp                                                   afruheritage-worker
2301f41bbcbf   afruheritage-platform-beat               "celery -A app.tasks…"   19 hours ago     Restarting (1) Less than a second ago                                                              afruheritage-beat
c6f8fa3b18c3   fleetbase-httpd                          "/docker-entrypoint.…"   19 hours ago     Up 6 hours                              0.0.0.0:8003->80/tcp, [::]:8003->80/tcp                    fleetbase-httpd-1
8dbab143e3d3   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   19 hours ago     Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         fleetbase-queue-1
06a2475bf632   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   19 hours ago     Up 6 hours (unhealthy)                  80/tcp, 443/tcp, 2019/tcp, 443/udp                         fleetbase-scheduler-1
5443882e54c2   mysql:8.0-oracle                         "docker-entrypoint.s…"   19 hours ago     Up 6 hours (healthy)                    33060/tcp, 0.0.0.0:3308->3306/tcp, [::]:3308->3306/tcp     fleetbase-database-1
c88ea30fa0ff   redis:4-alpine                           "docker-entrypoint.s…"   19 hours ago     Up 6 hours (healthy)                    6379/tcp                                                   fleetbase-cache-1
f25c9a99454e   socketcluster/socketcluster:v17.4.0      "docker-entrypoint.s…"   19 hours ago     Up 6 hours                              0.0.0.0:38002->8000/tcp, [::]:38002->8000/tcp              fleetbase-socket-1
f295a8a8842b   fleetbase-console                        "/docker-entrypoint.…"   19 hours ago     Up 6 hours                              80/tcp, 0.0.0.0:4202->4200/tcp, [::]:4202->4200/tcp        fleetbase-console-1
4b76161f52df   afruheritage-platform-frontend           "docker-entrypoint.s…"   2 days ago       Up 6 hours (unhealthy)                  0.0.0.0:3002->3000/tcp, [::]:3002->3000/tcp                afruheritage-frontend
1ba3e94b7fb7   afruheritage-platform-admin-console      "gunicorn admin_app.…"   4 days ago       Restarting (3) 18 seconds ago                                                                      afruheritage-admin-console
ee2ea37eb6e4   redis:7-alpine                           "docker-entrypoint.s…"   4 days ago       Up 6 hours (healthy)                    0.0.0.0:6380->6379/tcp, [::]:6380->6379/tcp                afruheritage-redis
eb3423201497   shared_runner_probe_1779348956-httpd     "/docker-entrypoint.…"   8 days ago       Up 6 hours                              0.0.0.0:8002->80/tcp, [::]:8002->80/tcp                    shared_runner_probe_1779348956-httpd-1
5bc856fc8ff8   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779348956-application-1
348418c37616   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779348956-queue-1
a940cddffd84   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (unhealthy)                  80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779348956-scheduler-1
0b6d62c38d19   redis:4-alpine                           "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    6379/tcp                                                   shared_runner_probe_1779348956-cache-1
e19933cfaf0b   mysql:8.0-oracle                         "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    33060/tcp, 0.0.0.0:3307->3306/tcp, [::]:3307->3306/tcp     shared_runner_probe_1779348956-database-1
2057d7e82adc   socketcluster/socketcluster:v17.4.0      "docker-entrypoint.s…"   8 days ago       Up 6 hours                              0.0.0.0:38001->8000/tcp, [::]:38001->8000/tcp              shared_runner_probe_1779348956-socket-1
2cbeb5d07709   shared_runner_probe_1779348956-console   "/docker-entrypoint.…"   8 days ago       Up 6 hours                              80/tcp, 0.0.0.0:4201->4200/tcp, [::]:4201->4200/tcp        shared_runner_probe_1779348956-console-1
685a5d47b122   shared_runner_probe_1779347902-httpd     "/docker-entrypoint.…"   8 days ago       Up 6 hours                              0.0.0.0:32778->80/tcp, [::]:32778->80/tcp                  shared_runner_probe_1779347902-httpd-1
864d0788debf   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779347902-application-1
e16e34155859   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779347902-queue-1
f1018a6e6207   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (unhealthy)                  80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779347902-scheduler-1
ba0d10eacdec   shared_runner_probe_1779347902-console   "/docker-entrypoint.…"   8 days ago       Up 6 hours                              80/tcp, 0.0.0.0:32771->4200/tcp, [::]:32771->4200/tcp      shared_runner_probe_1779347902-console-1
fa8725088d1a   mysql:8.0-oracle                         "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    33060/tcp, 0.0.0.0:32777->3306/tcp, [::]:32777->3306/tcp   shared_runner_probe_1779347902-database-1
66b88c0e6a6e   redis:4-alpine                           "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    6379/tcp                                                   shared_runner_probe_1779347902-cache-1
522ce02df5ba   socketcluster/socketcluster:v17.4.0      "docker-entrypoint.s…"   8 days ago       Up 6 hours                              0.0.0.0:32769->8000/tcp, [::]:32769->8000/tcp              shared_runner_probe_1779347902-socket-1
2b5a36cce81a   shared_runner_probe_1779346821-httpd     "/docker-entrypoint.…"   8 days ago       Up 6 hours                              0.0.0.0:32775->80/tcp, [::]:32775->80/tcp                  shared_runner_probe_1779346821-httpd-1
4cbe619decae   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346821-application-1
2407fca18eef   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346821-queue-1
1e56a232790d   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (unhealthy)                  80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346821-scheduler-1
6bef2f7ab841   mysql:8.0-oracle                         "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    33060/tcp, 0.0.0.0:32772->3306/tcp, [::]:32772->3306/tcp   shared_runner_probe_1779346821-database-1
ed065f5519b4   shared_runner_probe_1779346821-console   "/docker-entrypoint.…"   8 days ago       Up 6 hours                              80/tcp, 0.0.0.0:32773->4200/tcp, [::]:32773->4200/tcp      shared_runner_probe_1779346821-console-1
b07db7ef6842   socketcluster/socketcluster:v17.4.0      "docker-entrypoint.s…"   8 days ago       Up 6 hours                              0.0.0.0:32768->8000/tcp, [::]:32768->8000/tcp              shared_runner_probe_1779346821-socket-1
aa43080d539f   redis:4-alpine                           "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    6379/tcp                                                   shared_runner_probe_1779346821-cache-1
113bfe37d5b7   shared_runner_probe_1779346725-httpd     "/docker-entrypoint.…"   8 days ago       Up 6 hours                              0.0.0.0:32779->80/tcp, [::]:32779->80/tcp                  shared_runner_probe_1779346725-httpd-1
24d1a19367c2   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346725-application-1
92ac862c7abd   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (unhealthy)                  80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346725-scheduler-1
ca1bc7a447e3   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346725-queue-1
fe23c88ce4a7   socketcluster/socketcluster:v17.4.0      "docker-entrypoint.s…"   8 days ago       Up 6 hours                              0.0.0.0:32776->8000/tcp, [::]:32776->8000/tcp              shared_runner_probe_1779346725-socket-1
198801d18835   shared_runner_probe_1779346725-console   "/docker-entrypoint.…"   8 days ago       Up 6 hours                              80/tcp, 0.0.0.0:32770->4200/tcp, [::]:32770->4200/tcp      shared_runner_probe_1779346725-console-1
2177d28b55f5   redis:4-alpine                           "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    6379/tcp                                                   shared_runner_probe_1779346725-cache-1
0538377d0f6b   mysql:8.0-oracle                         "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    33060/tcp, 0.0.0.0:32774->3306/tcp, [::]:32774->3306/tcp   shared_runner_probe_1779346725-database-1
b1849ec2899c   redis:4-alpine                           "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    6379/tcp                                                   shared_runner_probe_1779346430-cache-1
448142ed4da8   redis:4-alpine                           "docker-entrypoint.s…"   8 days ago       Up 6 hours (healthy)                    6379/tcp                                                   script_runner_probe_1779344802-cache-1
e83d66eac7a1   socketcluster/socketcluster:v17.4.0      "docker-entrypoint.s…"   8 days ago       Up 6 hours                              0.0.0.0:38000->8000/tcp, [::]:38000->8000/tcp              script_runner_probe_1779344802-socket-1
90085ffbcfa9   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)                    80/tcp, 443/tcp, 2019/tcp, 443/udp                         uat-freight-co-scheduler-1
