eebd3fe2105d   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   50 minutes ago   Up 50 minutes (healthy)         80/tcp, 443/tcp, 2019/tcp, 443/udp                         fleetbase-application-1
c6f8fa3b18c3   fleetbase-httpd                          "/docker-entrypoint.…"   19 hours ago     Up 6 hours                      0.0.0.0:8003->80/tcp, [::]:8003->80/tcp                    fleetbase-httpd-1
8dbab143e3d3   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   19 hours ago     Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         fleetbase-queue-1
06a2475bf632   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   19 hours ago     Up 6 hours (unhealthy)          80/tcp, 443/tcp, 2019/tcp, 443/udp                         fleetbase-scheduler-1
5443882e54c2   mysql:8.0-oracle                         "docker-entrypoint.s…"   19 hours ago     Up 6 hours (healthy)            33060/tcp, 0.0.0.0:3308->3306/tcp, [::]:3308->3306/tcp     fleetbase-database-1
c88ea30fa0ff   redis:4-alpine                           "docker-entrypoint.s…"   19 hours ago     Up 6 hours (healthy)            6379/tcp                                                   fleetbase-cache-1
f25c9a99454e   socketcluster/socketcluster:v17.4.0      "docker-entrypoint.s…"   19 hours ago     Up 6 hours                      0.0.0.0:38002->8000/tcp, [::]:38002->8000/tcp              fleetbase-socket-1
f295a8a8842b   fleetbase-console                        "/docker-entrypoint.…"   19 hours ago     Up 6 hours                      80/tcp, 0.0.0.0:4202->4200/tcp, [::]:4202->4200/tcp        fleetbase-console-1
5bc856fc8ff8   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779348956-application-1
348418c37616   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779348956-queue-1
a940cddffd84   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (unhealthy)          80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779348956-scheduler-1
864d0788debf   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779347902-application-1
e16e34155859   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779347902-queue-1
f1018a6e6207   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (unhealthy)          80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779347902-scheduler-1
4cbe619decae   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346821-application-1
2407fca18eef   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346821-queue-1
1e56a232790d   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (unhealthy)          80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346821-scheduler-1
24d1a19367c2   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346725-application-1
92ac862c7abd   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (unhealthy)          80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346725-scheduler-1
ca1bc7a447e3   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         shared_runner_probe_1779346725-queue-1
90085ffbcfa9   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         uat-freight-co-scheduler-1
a7c94f7b7721   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         uat-freight-co-application-1
57ae8e940ec7   fleetbase/fleetbase-api:latest           "docker-php-entrypoi…"   8 days ago       Up 6 hours (healthy)            80/tcp, 443/tcp, 2019/tcp, 443/udp                         uat-freight-co-queue-1
